HasCarLoan,LastCallDurationSecs,HasHHInsurance,LastContactMonth,PrevCampaignOutcome,EducationLevel,Age,LastContactDayOfMonth,NumAttemptsPrevCampaign,NumContactsCurrentCampaign,Balance,MaritalStatus,Job,CommunicationType,LastCallHourOfDay,HasCreditDefault,DaysPassed,CarInsurance
yes,232,yes,jun,,primary,31,2,0,1,298,married,blue-collar,,9,no,-1,0
no,256,no,jul,failure,tertiary,40,13,1,3,4539,married,management,cellular,9,no,439,1
no,133,yes,jul,,secondary,44,30,0,2,2439,married,services,cellular,10,no,-1,0
no,129,no,feb,,secondary,33,6,0,1,2583,single,technician,cellular,13,no,-1,0
no,658,no,sep,other,tertiary,46,11,2,4,7331,married,management,cellular,11,no,95,1
no,347,yes,jun,,tertiary,36,4,0,3,3611,divorced,management,,12,no,-1,0
yes,206,no,jul,,tertiary,41,23,0,3,846,divorced,management,cellular,9,no,-1,0
no,352,yes,jul,,secondary,30,18,0,5,53,single,technician,cellular,15,no,-1,0
no,851,yes,may,,secondary,53,16,0,2,2,married,blue-collar,,16,no,-1,0
no,644,no,jul,,secondary,43,31,0,2,642,married,services,cellular,16,no,-1,0
yes,44,no,jul,,secondary,38,31,0,28,0,married,technician,cellular,10,yes,-1,0
no,151,no,feb,,,36,10,0,1,417,single,student,cellular,14,no,-1,1
yes,352,yes,jun,failure,secondary,41,4,2,2,0,married,services,cellular,16,no,122,1
no,62,no,dec,failure,secondary,49,24,2,3,3570,married,housemaid,cellular,10,no,202,0
no,97,no,jun,,primary,57,17,0,1,5799,married,retired,,15,no,-1,0
no,149,yes,jun,success,tertiary,25,5,1,1,42,single,self-employed,cellular,14,no,94,1
no,973,no,jun,,primary,43,20,0,2,519,married,unemployed,,14,no,-1,1
yes,311,yes,may,,primary,26,15,0,5,-219,married,blue-collar,,14,no,-1,0
no,297,no,apr,success,tertiary,31,30,3,1,1331,married,management,cellular,10,no,86,1
yes,819,no,jul,,secondary,56,8,0,3,663,single,blue-collar,cellular,9,no,-1,1
no,323,no,mar,,primary,65,11,0,1,715,married,housemaid,cellular,12,no,-1,1
no,595,no,nov,,tertiary,32,17,0,1,2516,married,management,cellular,11,no,-1,0
no,1730,yes,may,,secondary,28,28,0,1,949,single,student,,10,no,-1,1
no,49,no,nov,,primary,50,18,0,3,5776,married,blue-collar,cellular,14,no,-1,0
no,130,no,nov,failure,secondary,33,16,2,1,920,married,admin.,cellular,9,no,95,1
no,141,yes,nov,,tertiary,50,20,0,1,8649,married,entrepreneur,cellular,16,no,-1,0
no,41,yes,nov,,,49,18,0,2,323,married,technician,cellular,14,no,-1,0
no,205,yes,may,,secondary,41,13,0,1,705,married,admin.,,13,no,-1,0
no,376,no,may,other,tertiary,34,26,1,2,808,single,management,cellular,14,no,97,0
no,318,no,jul,failure,tertiary,40,3,3,4,35,married,services,cellular,12,no,317,0
no,224,no,jun,,tertiary,37,30,0,1,1315,married,management,cellular,17,no,-1,1
no,701,yes,jan,,secondary,44,27,0,1,2776,married,technician,cellular,16,no,-1,1
no,158,yes,apr,success,secondary,31,20,1,1,1664,married,blue-collar,cellular,15,no,182,0
no,81,no,jul,,secondary,49,31,0,5,133,married,technician,cellular,13,no,-1,0
no,174,yes,may,,primary,42,14,0,2,177,single,blue-collar,cellular,12,no,-1,0
no,110,yes,sep,failure,tertiary,48,29,9,2,-130,divorced,management,cellular,12,no,61,0
no,221,yes,aug,success,secondary,58,7,2,1,687,married,unemployed,cellular,9,no,99,1
no,304,yes,oct,success,tertiary,30,25,2,1,985,single,management,cellular,12,no,94,1
yes,74,no,aug,,tertiary,34,19,0,2,66,divorced,technician,cellular,17,no,-1,0
no,361,yes,may,success,secondary,48,4,3,1,1730,married,blue-collar,cellular,16,no,89,1
no,111,no,may,,tertiary,32,23,0,2,151,single,management,,16,no,-1,0
no,42,yes,nov,failure,tertiary,49,17,2,2,313,married,entrepreneur,cellular,9,no,188,0
no,118,yes,may,,secondary,45,13,0,1,4646,married,blue-collar,,16,no,-1,0
no,54,yes,apr,,secondary,33,20,0,1,3458,married,blue-collar,cellular,14,no,-1,0
no,92,yes,may,other,secondary,34,6,4,3,69,single,admin.,telephone,11,no,362,0
no,60,yes,nov,,tertiary,33,19,0,1,8038,single,management,cellular,9,no,-1,0
no,7,yes,may,,secondary,24,18,0,2,-73,single,technician,cellular,9,no,-1,0
no,978,no,aug,,tertiary,33,12,0,1,87,single,management,cellular,15,no,-1,1
no,295,no,jun,,tertiary,57,1,0,1,473,married,management,cellular,14,no,-1,1
no,174,no,jun,success,secondary,46,5,1,2,974,married,admin.,cellular,13,no,80,1
no,129,yes,may,,secondary,44,20,0,8,1422,married,services,,15,no,-1,0
no,60,yes,may,failure,primary,36,13,1,1,413,married,services,telephone,12,no,176,0
no,266,no,jun,other,tertiary,37,25,3,2,122,married,technician,cellular,11,no,318,1
yes,133,yes,may,,secondary,30,15,0,1,-206,married,technician,cellular,16,no,-1,0
yes,151,yes,jul,,secondary,36,7,0,4,-27,married,services,cellular,12,no,-1,0
no,179,yes,may,,secondary,22,5,0,2,0,single,blue-collar,,11,no,-1,0
no,669,no,may,,secondary,48,5,0,3,1,married,blue-collar,,15,no,-1,0
no,13,yes,feb,,secondary,42,3,0,5,440,married,technician,cellular,15,no,-1,0
no,165,no,jul,,tertiary,40,28,0,5,0,married,management,cellular,13,yes,-1,0
yes,79,no,aug,,tertiary,49,6,0,3,651,divorced,management,cellular,9,no,-1,0
no,92,no,nov,,tertiary,32,2,0,3,9317,single,management,cellular,14,no,-1,0
yes,508,yes,feb,failure,tertiary,44,3,4,1,1818,married,technician,cellular,12,no,92,1
no,756,yes,may,,tertiary,43,8,0,1,2067,single,management,,10,no,-1,1
no,835,yes,nov,,secondary,34,18,0,1,2729,single,technician,cellular,13,no,-1,1
no,91,yes,apr,failure,tertiary,47,16,1,2,109,married,management,cellular,10,no,268,0
no,202,yes,apr,failure,secondary,35,17,1,2,372,married,services,cellular,15,no,280,0
yes,1399,yes,jul,,secondary,30,10,0,1,0,married,blue-collar,cellular,13,no,-1,1
no,180,no,nov,,secondary,44,19,0,3,1206,married,admin.,cellular,17,no,-1,0
no,117,no,aug,,tertiary,31,11,0,3,3739,married,management,cellular,10,no,-1,0
no,113,yes,may,,secondary,38,26,0,4,6,married,technician,,14,no,-1,0
no,252,yes,apr,success,secondary,49,30,1,1,3608,married,admin.,cellular,12,no,168,1
no,122,yes,may,failure,secondary,39,18,4,3,6,married,technician,cellular,15,no,357,0
yes,690,yes,may,,primary,37,12,0,1,-106,married,blue-collar,cellular,17,no,-1,1
no,877,yes,may,,secondary,39,7,0,3,62,married,blue-collar,cellular,14,no,-1,1
no,108,yes,apr,,secondary,22,2,0,1,722,single,student,cellular,12,no,-1,0
no,437,no,apr,failure,tertiary,29,15,1,1,5698,married,management,cellular,13,no,264,0
no,21,yes,nov,failure,secondary,35,21,2,3,1183,single,technician,cellular,16,no,185,0
no,71,yes,feb,,tertiary,43,9,0,2,938,married,management,cellular,13,no,-1,0
no,132,no,aug,,primary,32,13,0,2,163,married,housemaid,cellular,13,no,-1,0
no,176,no,aug,,tertiary,38,11,0,3,982,single,self-employed,cellular,12,no,-1,0
no,300,no,sep,other,tertiary,34,1,3,1,589,married,management,cellular,9,no,44,1
no,71,no,jun,,secondary,46,2,0,4,13,single,admin.,,17,no,-1,0
no,42,yes,jul,,tertiary,30,6,0,1,69,married,management,,16,no,-1,0
no,922,no,jun,,primary,55,19,0,2,2152,married,housemaid,,9,no,-1,1
no,481,no,sep,failure,secondary,31,1,1,1,-205,single,services,cellular,11,no,579,1
no,140,no,jun,,,35,16,0,1,422,single,blue-collar,,13,no,-1,0
no,117,yes,jul,,secondary,39,18,0,2,241,divorced,blue-collar,cellular,11,no,-1,0
yes,804,yes,jul,,,45,10,0,1,3133,married,entrepreneur,cellular,16,no,-1,1
yes,171,yes,nov,failure,tertiary,56,17,2,1,505,married,management,cellular,9,no,172,0
no,103,yes,jun,,secondary,21,3,0,1,2062,married,unemployed,,14,no,-1,0
no,252,no,oct,,secondary,19,22,0,2,329,single,student,cellular,14,no,-1,1
yes,381,yes,may,,secondary,37,29,0,1,-4,married,blue-collar,,14,no,-1,0
no,173,no,sep,,tertiary,36,16,0,1,376,married,technician,cellular,11,no,-1,1
no,5,yes,aug,other,primary,30,28,2,1,124,married,blue-collar,,13,no,775,0
no,166,no,nov,success,tertiary,26,11,1,1,943,single,management,cellular,12,no,195,1
yes,53,yes,nov,,secondary,35,17,0,1,1577,married,technician,cellular,14,no,-1,0
no,271,no,sep,,secondary,29,29,0,1,1934,single,services,cellular,11,no,-1,1
no,20,yes,apr,,secondary,47,20,0,2,306,married,services,cellular,16,no,-1,0
no,293,no,sep,success,tertiary,31,4,1,1,882,single,technician,cellular,12,no,93,1
no,9,no,aug,,primary,58,28,0,25,6762,married,blue-collar,cellular,10,no,-1,0
no,765,yes,aug,success,secondary,35,11,5,2,2374,married,admin.,cellular,15,no,183,1
no,394,yes,may,,secondary,31,13,0,1,879,married,admin.,cellular,14,no,-1,1
no,119,yes,may,,primary,40,6,0,1,46,married,blue-collar,,16,no,-1,0
no,189,yes,aug,,primary,45,28,0,17,1291,married,blue-collar,cellular,9,no,-1,0
no,339,yes,oct,success,secondary,34,21,10,3,1279,single,technician,cellular,13,no,91,1
no,81,yes,may,other,primary,47,13,2,3,10558,single,blue-collar,cellular,9,no,174,0
yes,138,no,oct,,secondary,25,12,0,1,139,single,technician,cellular,10,no,-1,1
no,530,no,jul,,tertiary,32,9,0,2,57,married,admin.,cellular,12,no,-1,0
no,175,no,aug,,tertiary,43,5,0,1,187,divorced,management,cellular,16,no,-1,0
no,169,yes,jan,other,secondary,36,30,2,1,5,divorced,unemployed,cellular,17,no,2,0
no,545,no,apr,,tertiary,32,22,0,1,2069,single,management,cellular,15,no,-1,1
no,171,no,apr,,secondary,28,30,0,1,4287,married,blue-collar,cellular,11,no,-1,0
no,226,no,nov,success,tertiary,53,17,4,1,583,married,management,cellular,14,no,184,1
yes,444,yes,jun,,secondary,26,4,0,3,581,single,admin.,,12,no,-1,0
no,236,yes,may,,secondary,56,15,0,1,28,married,technician,,10,no,-1,0
no,244,no,may,,tertiary,56,4,0,1,2333,married,management,cellular,13,no,-1,1
no,270,no,oct,success,secondary,60,23,1,3,10925,married,technician,cellular,12,no,185,1
no,125,yes,jun,,tertiary,44,20,0,2,2237,divorced,management,,14,no,-1,0
no,268,no,may,,secondary,32,4,0,3,400,single,blue-collar,cellular,9,no,-1,1
no,460,yes,may,,tertiary,35,14,0,2,916,single,management,cellular,15,no,-1,1
no,137,no,jun,,secondary,31,3,0,2,-306,divorced,blue-collar,,17,no,-1,0
yes,831,yes,jul,,secondary,31,8,0,1,152,married,blue-collar,cellular,16,no,-1,1
no,342,yes,jun,,secondary,31,3,0,2,205,single,technician,,9,no,-1,0
no,108,yes,jul,,secondary,37,16,0,5,764,married,admin.,cellular,13,no,-1,0
no,93,no,oct,,secondary,37,23,0,1,0,single,admin.,cellular,10,no,-1,0
no,133,no,may,,secondary,47,15,0,2,223,married,services,cellular,11,no,-1,0
no,384,yes,jun,,secondary,38,2,0,1,3249,married,entrepreneur,,15,no,-1,0
no,162,no,aug,,tertiary,57,20,0,3,3250,married,management,cellular,17,no,-1,0
no,209,yes,may,,primary,47,9,0,3,94,married,blue-collar,,9,no,-1,0
yes,542,yes,may,,tertiary,35,7,0,1,1618,single,management,cellular,14,no,-1,1
no,60,no,may,,tertiary,45,13,0,1,849,married,management,,12,no,-1,0
no,189,no,oct,,secondary,65,27,0,2,1624,married,retired,cellular,13,no,-1,0
no,369,no,dec,,tertiary,46,30,0,2,461,divorced,management,cellular,10,no,-1,1
no,623,yes,apr,failure,tertiary,37,15,4,2,3649,single,blue-collar,cellular,14,no,146,0
no,76,yes,apr,failure,primary,49,17,7,1,816,married,blue-collar,cellular,15,no,260,0
no,323,yes,feb,,secondary,29,17,0,1,1135,married,services,cellular,17,no,-1,1
no,515,no,feb,,secondary,30,4,0,1,1058,single,unemployed,cellular,10,no,-1,0
no,402,no,aug,,tertiary,26,13,0,2,-8,single,management,cellular,13,no,-1,0
no,70,yes,may,,tertiary,32,23,0,6,1501,married,management,,13,no,-1,0
no,1420,no,feb,,secondary,39,2,0,3,52,married,services,telephone,16,no,-1,1
no,120,yes,may,failure,secondary,38,6,4,1,1255,single,technician,cellular,17,no,170,0
no,173,no,apr,,secondary,38,14,0,1,497,married,technician,,10,no,-1,1
no,185,yes,apr,,tertiary,30,20,0,1,860,married,management,cellular,10,no,-1,0
yes,169,no,nov,,secondary,50,5,0,1,237,divorced,admin.,telephone,11,no,-1,1
no,133,yes,may,,secondary,36,15,0,2,-318,married,unemployed,,10,yes,-1,0
no,470,no,nov,,secondary,45,21,0,1,2519,divorced,admin.,cellular,11,no,-1,0
no,839,yes,may,success,tertiary,36,6,1,2,7506,single,management,cellular,17,no,188,1
no,1980,yes,may,,primary,53,30,0,2,2656,divorced,blue-collar,,9,no,-1,1
no,131,no,aug,success,tertiary,40,6,6,2,0,married,management,cellular,14,no,98,1
no,210,no,jan,,secondary,45,28,0,2,297,married,technician,cellular,13,no,-1,0
no,438,no,aug,success,secondary,59,21,3,1,1047,married,unemployed,cellular,9,no,184,1
no,189,yes,may,,secondary,50,11,0,1,1400,married,blue-collar,cellular,11,no,-1,0
no,160,yes,may,,primary,34,18,0,2,-703,married,blue-collar,cellular,14,no,-1,0
no,1057,yes,may,other,primary,34,18,1,6,-1,married,blue-collar,cellular,16,no,355,1
yes,973,yes,jul,,secondary,47,7,0,3,-239,single,technician,cellular,16,no,-1,1
no,399,no,jun,,secondary,48,11,0,8,11516,married,services,,17,no,-1,0
no,176,no,nov,,tertiary,51,17,0,2,2139,single,management,cellular,10,no,-1,0
yes,164,yes,may,,secondary,39,29,0,3,822,single,technician,,12,no,-1,0
no,1174,yes,apr,other,secondary,35,16,4,1,0,single,blue-collar,cellular,13,no,345,1
no,455,no,jan,failure,tertiary,50,25,2,1,5969,married,management,cellular,16,no,544,1
no,163,yes,jun,,secondary,38,19,0,2,2674,divorced,self-employed,,10,no,-1,0
no,444,yes,jul,,secondary,31,14,0,3,1173,married,technician,cellular,17,no,-1,1
yes,287,yes,nov,other,secondary,39,19,2,3,-982,married,admin.,cellular,16,no,117,0
no,606,no,aug,success,secondary,62,17,1,1,1495,married,retired,cellular,9,no,196,1
no,227,no,may,,secondary,52,7,0,1,273,married,self-employed,,15,no,-1,0
no,114,yes,may,,primary,38,12,0,5,481,married,blue-collar,telephone,9,no,-1,0
yes,123,no,aug,,primary,55,6,0,2,628,married,retired,cellular,14,no,-1,0
no,553,no,jun,,primary,38,9,0,2,3289,married,blue-collar,,13,no,-1,0
yes,149,yes,may,,tertiary,33,23,0,1,594,single,technician,,13,no,-1,0
no,384,no,jun,,secondary,52,6,0,2,1956,married,retired,,9,no,-1,0
no,335,no,apr,,primary,35,17,0,2,373,married,blue-collar,cellular,15,no,-1,0
no,132,no,jun,,primary,38,17,0,2,175,married,services,,12,no,-1,0
no,317,yes,jun,,primary,43,12,0,1,999,single,blue-collar,,10,no,-1,0
no,409,no,sep,success,tertiary,33,23,4,2,224,single,management,cellular,15,no,92,1
no,1635,no,feb,,tertiary,54,3,0,1,1303,married,management,cellular,11,no,-1,1
no,134,yes,may,,secondary,40,29,0,1,327,married,blue-collar,,11,no,-1,0
yes,50,no,aug,,tertiary,50,8,0,2,290,married,management,cellular,16,no,-1,0
no,346,yes,may,,tertiary,34,23,0,1,0,single,management,,9,no,-1,0
no,116,yes,may,failure,primary,42,14,1,4,22,single,blue-collar,cellular,17,no,365,0
no,169,no,oct,other,secondary,48,13,1,1,1245,single,technician,cellular,16,no,134,0
no,131,yes,may,,secondary,43,8,0,1,0,married,self-employed,cellular,9,no,-1,0
no,455,yes,may,,secondary,28,9,0,1,948,married,blue-collar,,10,no,-1,0
no,372,yes,may,,tertiary,30,23,0,3,-679,single,student,,15,no,-1,0
no,29,no,jun,,secondary,46,20,0,3,12186,married,management,,14,no,-1,0
no,415,yes,jul,,,28,18,0,2,24,single,admin.,cellular,14,no,-1,1
no,188,yes,nov,,secondary,50,18,0,1,2717,married,management,cellular,17,no,-1,0
no,177,yes,nov,,tertiary,38,18,0,2,3139,married,self-employed,cellular,12,no,-1,0
no,393,no,may,,tertiary,29,25,0,1,70,single,unemployed,cellular,12,no,-1,1
no,736,yes,jun,,secondary,43,5,0,2,318,single,blue-collar,,12,no,-1,1
no,1032,yes,may,,secondary,39,18,0,2,117,married,services,cellular,17,no,-1,1
yes,306,yes,may,,secondary,30,26,0,3,-95,married,services,,15,no,-1,0
no,475,no,feb,,secondary,68,18,0,1,445,married,retired,cellular,14,no,-1,1
no,736,no,feb,,primary,31,4,0,1,406,single,unemployed,cellular,14,no,-1,1
no,1227,no,aug,,secondary,46,5,0,2,940,married,technician,cellular,17,no,-1,1
no,725,yes,may,,,46,5,0,3,9328,married,blue-collar,cellular,9,no,-1,1
no,70,no,aug,,secondary,39,29,0,2,36,single,management,cellular,11,no,-1,0
yes,1341,no,jul,,secondary,25,10,0,7,1243,single,blue-collar,cellular,15,no,-1,1
no,229,yes,may,,secondary,58,7,0,2,-324,married,retired,cellular,9,no,-1,0
no,267,yes,feb,other,tertiary,40,3,3,4,502,divorced,management,cellular,13,no,270,0
no,45,yes,feb,failure,primary,53,2,2,1,798,married,management,telephone,13,no,217,0
no,9,no,jul,,tertiary,35,27,0,1,775,married,management,,16,no,-1,0
no,180,no,nov,failure,secondary,45,19,2,1,830,married,self-employed,cellular,9,no,111,0
no,66,no,nov,,secondary,47,18,0,1,458,married,management,cellular,17,no,-1,0
no,356,no,aug,success,secondary,34,10,2,3,2085,single,technician,cellular,13,no,182,1
no,196,no,dec,success,secondary,27,29,2,2,1595,married,admin.,cellular,16,no,197,1
no,207,no,jun,success,tertiary,31,5,1,2,924,single,management,cellular,17,no,98,1
yes,805,no,jul,,tertiary,59,15,0,3,296,married,management,cellular,16,no,-1,1
no,142,yes,may,,,41,19,0,3,665,married,blue-collar,,9,no,-1,0
no,215,no,aug,,secondary,48,19,0,2,0,married,technician,cellular,14,no,-1,0
yes,71,yes,jun,,tertiary,38,19,0,1,-1007,married,management,,10,yes,-1,0
no,204,yes,may,,secondary,43,9,0,2,3,married,management,,13,no,-1,0
no,101,yes,may,,secondary,26,4,0,2,256,single,services,cellular,10,no,-1,0
no,290,no,mar,success,primary,80,12,2,1,155,married,retired,telephone,14,no,93,1
no,114,yes,may,,secondary,42,6,0,2,1263,married,services,,13,no,-1,0
no,234,yes,may,,tertiary,55,30,0,1,0,divorced,technician,,12,no,-1,0
no,259,yes,apr,,secondary,38,20,0,3,336,married,management,cellular,13,no,-1,0
yes,180,yes,may,,secondary,45,12,0,2,3092,married,blue-collar,cellular,11,no,-1,0
no,269,no,aug,,tertiary,30,11,0,2,7513,single,student,cellular,16,no,-1,0
no,303,no,aug,success,tertiary,37,6,4,2,2283,married,management,cellular,12,no,92,1
no,838,yes,jul,,tertiary,39,15,0,3,285,married,management,cellular,15,no,-1,1
no,860,yes,apr,,tertiary,35,20,0,1,43,married,management,cellular,14,no,-1,1
no,189,no,may,failure,tertiary,36,25,1,1,1379,single,management,cellular,9,no,186,1
no,48,no,jul,,primary,32,25,0,2,380,divorced,blue-collar,cellular,15,no,-1,0
no,90,no,jul,,tertiary,30,24,0,2,14,married,management,cellular,10,no,-1,0
no,716,yes,may,failure,tertiary,39,4,2,3,2454,single,management,cellular,13,no,263,1
no,136,yes,jan,,primary,35,29,0,1,285,married,retired,cellular,13,no,-1,0
no,1141,no,aug,,secondary,39,11,0,4,215,married,management,cellular,17,no,-1,1
no,802,yes,jul,,secondary,37,22,0,11,1110,married,admin.,telephone,12,no,-1,1
no,158,yes,may,,secondary,32,25,0,2,152,single,services,cellular,13,no,-1,1
no,95,yes,jul,,tertiary,34,10,0,1,0,married,self-employed,cellular,11,no,-1,0
no,364,no,may,,secondary,58,29,0,2,32948,married,retired,,16,no,-1,0
no,442,no,jun,,secondary,45,11,0,1,3007,married,technician,,16,no,-1,0
no,367,no,jul,success,primary,64,30,2,2,12067,married,retired,telephone,10,no,92,1
no,268,yes,may,,,36,20,0,2,722,married,blue-collar,,12,no,-1,0
no,626,yes,feb,,tertiary,38,2,0,1,1308,married,management,cellular,9,no,-1,1
no,71,no,may,,secondary,46,22,0,1,533,single,admin.,cellular,11,no,-1,0
no,127,no,aug,,tertiary,33,18,0,4,-5,single,management,cellular,17,yes,-1,0
no,567,no,apr,,secondary,24,30,0,2,382,single,student,cellular,9,no,-1,1
no,501,no,feb,,secondary,33,9,0,2,2085,single,technician,cellular,9,no,-1,1
no,289,no,may,success,primary,77,13,5,1,3324,married,retired,cellular,9,no,91,1
no,338,no,aug,,tertiary,22,19,0,1,691,single,student,cellular,13,no,-1,1
no,198,yes,may,,secondary,40,28,0,1,-312,married,technician,,16,no,-1,0
no,162,yes,may,,tertiary,38,30,0,1,4425,divorced,management,,13,no,-1,0
no,97,yes,may,,primary,35,6,0,2,623,married,blue-collar,cellular,14,no,-1,0
yes,6,no,jul,,secondary,48,31,0,16,-876,married,management,cellular,12,no,-1,0
no,210,yes,may,,secondary,39,23,0,2,0,divorced,self-employed,,16,no,-1,0
no,884,yes,may,failure,secondary,30,14,4,3,315,single,admin.,cellular,12,no,346,1
no,293,yes,may,,,48,16,0,7,54,married,management,,10,no,-1,0
no,55,no,jun,,primary,58,18,0,2,2387,married,housemaid,,12,no,-1,0
no,130,no,oct,failure,tertiary,63,12,6,2,0,married,management,cellular,15,no,182,0
yes,1484,yes,jul,,secondary,38,24,0,24,593,married,entrepreneur,cellular,9,no,-1,1
no,515,yes,feb,,secondary,35,10,0,1,1693,single,technician,cellular,9,no,-1,1
no,159,no,sep,failure,secondary,50,29,2,1,0,divorced,technician,cellular,9,no,120,1
no,126,yes,aug,,tertiary,35,6,0,6,163,married,admin.,cellular,15,no,-1,0
no,177,yes,may,,secondary,38,28,0,2,-345,divorced,services,,17,no,-1,0
no,177,no,jul,,secondary,42,21,0,1,417,single,technician,cellular,9,no,-1,0
no,141,yes,aug,,secondary,36,13,0,3,9149,single,technician,cellular,14,no,-1,0
no,234,yes,oct,,secondary,42,30,0,1,314,divorced,technician,,13,no,-1,1
no,895,yes,may,failure,secondary,31,7,2,2,0,single,admin.,cellular,15,no,295,1
no,351,yes,jun,,tertiary,31,24,0,3,1197,married,technician,,17,no,-1,0
no,494,no,nov,,tertiary,59,13,0,1,0,married,housemaid,telephone,16,no,-1,1
yes,532,yes,may,,secondary,32,15,0,3,134,married,management,cellular,11,no,-1,1
no,651,yes,nov,failure,secondary,49,17,1,2,202,married,services,cellular,14,no,104,1
no,674,no,jun,,secondary,30,13,0,1,799,single,blue-collar,,12,no,-1,1
no,697,no,aug,,secondary,54,11,0,6,1349,married,technician,telephone,17,no,-1,0
no,211,yes,sep,failure,secondary,52,7,1,1,0,married,technician,cellular,9,no,294,1
no,191,yes,may,failure,primary,56,8,5,2,39,single,blue-collar,telephone,17,no,347,0
no,296,yes,may,,primary,38,11,0,1,2064,divorced,management,cellular,9,no,-1,0
yes,1019,no,jul,,secondary,43,16,0,11,184,married,blue-collar,cellular,13,no,-1,1
yes,374,no,aug,,tertiary,47,21,0,1,0,married,management,cellular,10,no,-1,1
no,279,yes,feb,,tertiary,40,2,0,1,0,married,management,cellular,15,no,-1,0
yes,120,yes,may,,primary,32,13,0,1,62,married,technician,,10,no,-1,0
no,270,no,aug,,primary,51,28,0,14,605,married,housemaid,cellular,15,no,-1,0
no,447,no,aug,failure,tertiary,33,10,2,1,1514,married,management,cellular,14,no,728,1
no,1272,yes,jul,,tertiary,59,7,0,3,553,married,management,cellular,15,no,-1,1
no,509,no,oct,,,75,28,0,1,4984,married,self-employed,telephone,11,no,-1,1
yes,38,yes,may,failure,secondary,44,13,2,1,-228,single,management,cellular,10,no,362,0
no,66,yes,may,failure,secondary,53,7,1,1,148,married,blue-collar,cellular,9,no,359,0
no,211,no,feb,success,secondary,29,23,5,1,67,single,student,cellular,16,no,187,1
no,212,no,oct,,tertiary,27,11,0,1,346,married,admin.,cellular,10,no,-1,1
no,388,yes,feb,success,secondary,47,19,7,1,1568,married,blue-collar,cellular,9,no,262,1
no,152,yes,may,,secondary,32,20,0,1,706,single,blue-collar,,14,no,-1,0
no,121,no,aug,,tertiary,46,27,0,2,0,married,management,cellular,11,no,-1,0
no,252,yes,feb,,secondary,38,2,0,1,485,divorced,admin.,cellular,14,no,-1,0
no,127,yes,feb,failure,primary,37,5,4,2,655,married,blue-collar,cellular,14,no,258,0
no,91,no,sep,success,tertiary,36,11,5,1,495,married,management,cellular,10,no,37,1
no,88,yes,aug,,tertiary,31,20,0,4,22546,married,management,cellular,16,no,-1,0
yes,190,yes,may,,secondary,20,13,0,1,129,single,blue-collar,,16,no,-1,0
no,558,no,jul,,primary,58,16,0,6,0,married,blue-collar,telephone,11,no,-1,0
no,559,yes,nov,failure,secondary,52,19,2,1,1291,divorced,self-employed,cellular,10,no,169,0
no,293,yes,apr,failure,secondary,32,7,2,3,897,married,blue-collar,cellular,17,no,322,0
yes,967,yes,may,,tertiary,30,19,0,6,880,single,technician,,16,no,-1,1
yes,114,yes,jul,,secondary,47,29,0,2,3333,married,services,cellular,13,no,-1,0
no,106,no,jul,,secondary,50,23,0,3,5312,married,self-employed,cellular,17,no,-1,0
no,159,yes,may,,tertiary,33,26,0,3,899,married,admin.,,13,no,-1,0
no,120,no,oct,,tertiary,37,19,0,1,254,single,management,cellular,10,no,-1,0
no,110,yes,jun,,secondary,40,26,0,3,72,married,blue-collar,,14,no,-1,0
no,141,no,feb,,tertiary,37,6,0,1,6101,single,technician,cellular,11,no,-1,1
no,204,yes,may,,tertiary,38,27,0,3,5455,divorced,management,,9,no,-1,0
no,328,no,nov,,tertiary,41,19,0,1,217,married,management,cellular,15,no,-1,0
no,31,no,jul,,primary,56,31,0,3,2163,married,blue-collar,telephone,10,no,-1,0
no,1499,no,jul,,primary,25,10,0,3,2483,single,blue-collar,cellular,17,no,-1,1
no,26,no,nov,failure,,30,20,2,5,809,single,student,cellular,12,no,171,0
no,232,yes,sep,success,tertiary,40,24,2,2,3840,single,management,cellular,10,no,409,1
no,1230,yes,may,,primary,40,16,0,3,1758,married,blue-collar,,17,no,-1,1
no,130,no,jan,,tertiary,36,28,0,2,3949,married,management,cellular,14,no,-1,1
no,99,yes,aug,,secondary,32,14,0,3,551,single,blue-collar,cellular,11,no,-1,0
no,466,yes,jun,,secondary,34,2,0,2,8558,married,blue-collar,,11,no,-1,0
no,355,no,jul,,tertiary,31,20,0,2,756,divorced,unemployed,cellular,12,no,-1,1
yes,107,yes,nov,,secondary,45,18,0,1,728,divorced,unemployed,cellular,10,no,-1,0
no,9,no,aug,,secondary,34,13,0,1,524,single,management,,13,no,-1,0
no,1023,yes,may,,secondary,55,16,0,4,2055,married,technician,,9,no,-1,0
yes,589,yes,jun,,tertiary,31,3,0,6,-24,single,management,,10,no,-1,0
no,507,yes,may,,secondary,23,20,0,1,210,single,services,,10,no,-1,0
yes,985,yes,may,,secondary,58,12,0,1,119,single,blue-collar,cellular,13,no,-1,1
yes,159,no,may,,tertiary,44,26,0,3,2365,married,management,cellular,17,no,-1,0
no,99,no,aug,,tertiary,44,28,0,24,795,married,management,cellular,15,no,-1,0
no,150,yes,may,,secondary,31,26,0,1,-579,divorced,admin.,,10,no,-1,0
yes,420,yes,may,,primary,43,15,0,4,108,married,blue-collar,,16,no,-1,0
yes,77,no,jul,,secondary,56,9,0,1,343,married,retired,cellular,12,no,-1,0
no,105,yes,feb,failure,tertiary,33,2,2,1,685,single,unemployed,cellular,14,no,96,0
